month,year,month_number,start_date,end_date,bank_name,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn
August,2011,8,01-08-2011,31-08-2011,BANK OF BARODA,1217,582,4364,0,71367,2863,80650,9,205.7,6870992,6421457,449568,23596.6,700.3
August,2011,8,01-08-2011,31-08-2011,STATE BANK OF INDIA,11758,9677,0,0,2093907,22483,3233804,103.249,6443.44,83997000,151138000,5185000,394416,8256.9
August,2011,8,01-08-2011,31-08-2011,HDFC BANK LTD,3197,3172,144251,0,5352280,59710,6697422,351.402,20895.6,13911500,22452495,5523811,91654.1,8096.91
August,2011,8,01-08-2011,31-08-2011,ICICI BANK LTD,2934,3820,146529,4045,3038046,8878,4686780,45.915,10699.3,16284369,23847778,4825031,102941,8030.42
August,2011,8,01-08-2011,31-08-2011,AXIS BANK LTD,1810,5501,190338,0,671524,7552,721447,22.6268,1856.63,10872350,41947019,2524573,92872.1,4341.6
July,2011,7,01-07-2011,31-07-2011,BANK OF BARODA,1206,579,4365,0,71621,2800,79112,1.2,213.7,6719673,6422908,420933,23467.8,640.2
July,2011,7,01-07-2011,31-07-2011,STATE BANK OF INDIA,11412,9555,0,0,2083890,21316,2960077,97.6072,5752.57,78883000,151958000,4885000,400427,7517.9
July,2011,7,01-07-2011,31-07-2011,HDFC BANK LTD,3141,3061,138373,0,5275750,53651,6230129,313.049,19847.7,13632717,22550312,5629294,91712.7,8120.95
July,2011,7,01-07-2011,31-07-2011,ICICI BANK LTD,2917,3666,184725,4015,3120228,8656,4351180,46.5464,9600.86,16319078,24112296,4510541,103885,7186.4
July,2011,7,01-07-2011,31-07-2011,AXIS BANK LTD,1809,5306,189218,0,657679,7274,640076,22.071,1613.82,10678793,41059964,2274488,90867.1,3841.9
June,2011,6,01-06-2011,30-06-2011,BANK OF BARODA,1087,570,4343,0,71792,3157,71772,3,199.3,6578257,6161846,347077,22745.4,552.6
June,2011,6,01-06-2011,30-06-2011,STATE BANK OF INDIA,11132,9318,0,0,2068948,20134,2828490,90.3381,5524.52,76977000,141650000,4753000,387198,6614
June,2011,6,01-06-2011,30-06-2011,HDFC BANK LTD,3068,2930,134114,0,5177786,52384,5700902,306.63,18606.5,13733568,21387996,4877210,86995,7128.41
June,2011,6,01-06-2011,30-06-2011,ICICI BANK LTD,2867,3558,182551,3949,3194674,8948,4153628,46.1352,9322.74,16340328,23623639,4054158,101054,6599.02
June,2011,6,01-06-2011,30-06-2011,AXIS BANK LTD,1784,5087,187142,0,648346,7201,589455,22.7216,1498.36,10510389,38154334,2085447,86393.3,3597.73
May,2011,5,01-05-2011,31-05-2011,BANK OF BARODA,1044,563,4513,0,72032,2953,74379,3.2,212.7,6443043,6423411,371508,23950.5,629.2
May,2011,5,01-05-2011,31-05-2011,STATE BANK OF INDIA,10967,9318,0,0,2059392,21343,2957662,96.0485,6117.24,75488000,144580000,4613000,391778,7695.1
May,2011,5,01-05-2011,31-05-2011,HDFC BANK LTD,2957,2839,128924,0,5099106,53220,5873844,311.896,20188.9,13465958,21851725,4972650,88963.7,7642.98
May,2011,5,01-05-2011,31-05-2011,ICICI BANK LTD,2734,3567,180655,3880,3266549,9658,4560952,51.4632,10751.3,16143713,27290567,4281904,119925,7432.49
May,2011,5,01-05-2011,31-05-2011,AXIS BANK LTD,1769,4818,186783,0,640926,6811,602385,22.4261,1614.93,10330392,39281481,2173612,90972.1,3970.89
April,2011,4,01-04-2011,30-04-2011,BANK OF BARODA,1018,561,4537,0,70221,3050,70341,3.2,195.2,6313713,6074724,329175,22062.5,533.4
April,2011,4,01-04-2011,30-04-2011,STATE BANK OF INDIA,10962,9318,0,0,2088515,21508,2737188,95.6024,5482.24,73134000,144809000,4219000,367726,6616.2
April,2011,4,01-04-2011,30-04-2011,HDFC BANK LTD,2837,2787,125179,0,5089800,50701,5344558,298.969,17822.8,13207311,21263901,4606216,85278.8,6873.01
April,2011,4,01-04-2011,30-04-2011,ICICI BANK LTD,2724,3467,178960,3861,3361684,9256,4088258,47.5939,9238.91,16041986,24485090,3908668,105031,6478.02
April,2011,4,01-04-2011,30-04-2011,AXIS BANK LTD,1745,4595,186708,0,634499,6432,569770,20.7131,1455.11,10165381,39149622,1980268,87918.6,3433.02
December,2011,12,01-12-2011,31-12-2011,BANK OF BARODA,1251,587,4340,248,70686,1003,80301,3.4,209.9,7460813,9687594,507771,24879.2,778.3
December,2011,12,01-12-2011,31-12-2011,STATE BANK OF INDIA,11971,9803,0,0,2145084,22426,3327385,105.409,6695.65,86508000,162978000,5643000,433886,8840.9
December,2011,12,01-12-2011,31-12-2011,HDFC BANK LTD,3363,3747,166145,0,5496726,64080,7163111,407.364,23390,13722502,24876045,5510860,102816,8558.88
December,2011,12,01-12-2011,31-12-2011,ICICI BANK LTD,2991,4611,144906,4526,2892502,8039,4376919,42.5906,10041.6,15696191,25609879,4838468,111464,8100.93
December,2011,12,01-12-2011,31-12-2011,AXIS BANK LTD,1463,6861,193838,0,723403,7667,809061,24.4,2191,11785316,47773303,2704309,109941,4576.3
January,2012,1,01-01-2012,31-01-2012,BANK OF BARODA,1275,600,4140,410,70148,955,75988,3.25859,198.107,7631818,7212245,555922,27390.6,855.2
January,2012,1,01-01-2012,31-01-2012,STATE BANK OF INDIA,11971,9803,0,0,2170566,25194,3531876,111.977,7188.87,87972000,162381000,5997000,430860,9246.3
January,2012,1,01-01-2012,31-01-2012,HDFC BANK LTD,3463,3883,172475,0,5568418,65392,7589316,410.728,24481.2,13918980,24071217,5488282,100021,8516.12
January,2012,1,01-01-2012,31-01-2012,ICICI BANK LTD,2999,4953,151976,4874,2868629,9100,4885062,47.3421,11280.9,15954381,24740449,5052612,107439,8507.15
